No.,Clinic,Branch,Location,Open,Tel
,,Asoke,"Soi Sukhumvit 21, Khlong Toei Nuea, Watthana",10.00 - 19.00,095 746 2823
,,Rama 2,"Bang Khun Thian-Chai Thalae Rd, Samae Dam",10.00 - 19.00,064 192 2823
,,Rangsit,"Phahonyothin Road, Thanyaburi District, Pathum Thani",11.00 - 20.00,063 394 6672
,,Chonburi,"Sukhumvit Road, Chon Buri District",10.00 - 19.00,063 394 2974
,,Phitsanulok,Mueang Phitsanulok District,10.00 - 19.00,063 394 6774
25,Seoul - N Clinic,1,"Phahonyothin Road, Lat Yao, Chatuchak",10.30 - 18.00,065 660 8011
26,Dermaster,Ekkamai,"Soi Sukhumvit 63, Khlong Tan Nuea",09.00 - 20.00,02 714 4471
,,Sathorn,"Sathon Rd, Khwaeng Silom, Bang Rak",10.00 - 19.00,02 235 4745
,,Chidlom,"Phloen Chit Rd, Lumphini, Pathum Wan",10.00 - 19.00, 02 253 9269
,,Asoke - Rama 9,"Asok - Din Daeng Rd, Huai Khwang ",10.00 - 19.00,02 246 0042
,,CDC,"Ekkamai - Ramintra Rd, Bang Kapi",10.00 - 19.00,02 539 4888
27,Mena Clinic,1,"The Jas, Ramindra, Anusawari, Bang Khen",11.00 - 19.30,094 545 5570
28,Flow Clinic,1,"Near Central Eastvile, Pradit Manutham Rd, Lat Phrao",09.30 - 18.30,082 552 2893
29,The Cozy Clinic,1,"Stadium one, Pathumwan",11.00 - 20.00,065 415 5536
30,F Clinic,Muangthongthani,"Chaeng Watthana, Pak Kret",12.00 - 20.00,080 470 9999
,,MBK,"MBK 2 floor, Pathumwan",12.00 - 20.00,064 181 0460
,,Sukhumvit 3/1,"Soi Sukhumvit 3/1, Khlong toey nuea",12.00 - 20.00,063 845 1999
